net1,stn1,net2,stn2,dist_km,technique,converged,best_delta_km_s,bad_quality_fraction,n_candidate_crossings,n_accepted_picks,freq_coverage_fraction,mean_amp_ratio,n_templates_converged,n_templates_scanned,matlab_coh_num,matlab_rel_l2_error,runtime_s,error
XV,LAHA,XV,TANS,530.1734538375553,MspecBestK,False,,0.9309090909090909,275,0,0.0,,0,33,,,1077.7200486660004,
XV,LAHA,XV,TANS,530.1734538375553,single-taper,False,,0.7202133965619443,1687,34,0.0,1.410780963512265,0,33,3315.0,3.154594934157662e-10,245.53633666038513,
XV,LAHA,XV,VATO,508.30415347595186,FastMspec,False,,0.8910256410256411,312,0,0.0,,0,33,2385.0,1.3190860582862526e-08,1040.4953758716583,
XV,LAHA,XV,VATO,508.30415347595186,Mspec,False,,0.9516129032258065,186,16,0.0,2.2131896229199035,0,33,,,996.1093657016754,
XV,LAHA,XV,VATO,508.30415347595186,MspecBestK,False,,0.9193548387096774,310,0,0.0,,0,33,,,960.813499212265,
XV,LAHA,XV,VATO,508.30415347595186,single-taper,False,,0.6624338624338625,1890,3,0.0,2.060680077430354,0,33,2385.0,9.591995761428045e-13,352.25353240966797,
XV,LAHA,XV,VINA,649.2190134720269,FastMspec,False,,0.9219858156028369,282,5,0.0,2.272296139698701,0,33,5415.0,1.2370630472698317e-05,1247.9860708713531,
XV,LAHA,XV,VINA,649.2190134720269,Mspec,False,,0.9736842105263158,114,1,0.0,2.7146755418288855,0,33,,,2361.7667393684387,
XV,LAHA,XV,VINA,649.2190134720269,MspecBestK,False,,0.9244604316546763,278,5,0.0,2.267083268451939,0,33,,,1274.7824153900146,
XV,LAHA,XV,VINA,649.2190134720269,single-taper,False,,0.7211895910780669,1883,25,0.0,1.5587713752529768,0,33,5415.0,2.026877288643254e-12,466.45293617248535,
XV,LAHA,XV,ZAKA,380.2611325727414,FastMspec,False,,0.9161290322580645,155,6,0.0,4.030456893341902,0,33,4425.0,0.002465304640174109,1014.5585200786591,
XV,LAHA,XV,ZAKA,380.2611325727414,Mspec,False,,0.990990990990991,111,0,0.0,,0,33,,,1994.0627315044403,
XV,LAHA,XV,ZAKA,380.2611325727414,MspecBestK,False,,0.9119496855345912,159,38,0.0,12.244377287714032,0,33,,,884.0015077590942,
XV,LAHA,XV,ZAKA,380.2611325727414,single-taper,False,,0.7544776119402985,1340,6,0.0,1.9277348353998054,0,33,4425.0,1.9367370698641352e-10,461.3125741481781,
XV,LAHA,XV,ZOBE,483.03269228239,FastMspec,False,,0.9484536082474226,194,0,0.0,424.49488360087867,0,33,5895.0,0.0010761199070026572,610.3087613582611,
XV,LAHA,XV,ZOBE,483.03269228239,Mspec,False,,0.9578947368421052,95,0,0.0,,0,33,,,2590.001061439514,
XV,LAHA,XV,ZOBE,483.03269228239,MspecBestK,False,,0.9468085106382979,188,0,0.0,444.1061110328976,0,33,,,559.5416288375854,
XV,LAHA,XV,ZOBE,483.03269228239,single-taper,False,,0.8334401024983985,1561,3,0.0,1.905687833607496,0,33,5895.0,3.1802206567933126e-11,680.8816130161285,
XV,LONA,XV,MAGY,621.5962780610137,FastMspec,True,0.8000000000000014,0.603448275862069,232,942,0.4246575342465753,6.337424684397855,11,33,4125.0,2.475759549575614e-05,2144.6731519699097,
XV,LONA,XV,MAGY,621.5962780610137,Mspec,False,,0.9385964912280702,114,21,0.0,inf,0,33,,,1818.8830518722534,
XV,LONA,XV,MAGY,621.5962780610137,MspecBestK,True,0.8000000000000014,0.6101694915254238,236,1013,0.4383561643835616,inf,11,33,,,2557.4209744930267,
XV,LONA,XV,MAGY,621.5962780610137,single-taper,False,,0.6992966002344666,1706,5,0.0,1.7262251811261824,0,33,4125.0,5.709547340638644e-13,300.0986852645874,
XV,LONA,XV,MAHA,349.7870735550419,FastMspec,False,,0.8513513513513513,148,31,0.0,49.5682594141758,0,33,10335.0,0.007276530871837432,1355.733338356018,
XV,LONA,XV,MAHA,349.7870735550419,Mspec,False,,0.9058823529411765,85,20,0.0,2.8731472128244735,0,33,,,4629.476303815842,
XV,LONA,XV,MAHA,349.7870735550419,MspecBestK,True,0.20000000000000084,0.6438356164383562,146,674,0.6493506493506493,14.679958742728198,2,33,,,1108.91042304039,
XV,LONA,XV,MAHA,349.7870735550419,single-taper,False,,0.833616298811545,1178,2,0.0,1.573552097642296,0,33,10335.0,4.821449453516123e-13,457.097163438797,
XV,LONA,XV,MAJA,817.6439407098351,FastMspec,False,,0.8489932885906041,298,34,0.0,44.58933043951979,0,33,10530.0,0.015701162999117235,1556.8484988212585,
XV,LONA,XV,MAJA,817.6439407098351,Mspec,False,,0.9411764705882353,136,4,0.0,inf,0,33,,,4272.048198461533,
XV,LONA,XV,MAJA,817.6439407098351,MspecBestK,False,,0.8424657534246576,292,33,0.0,55.409712894734405,0,33,,,1070.2437801361084,
XV,LONA,XV,MAJA,817.6439407098351,single-taper,False,,0.7770143660212367,1601,2,0.0,1.308343105633084,0,33,10530.0,4.665001714601853e-11,692.8975052833557,
XV,LONA,XV,MARO,298.35391715122415,FastMspec,False,,0.8956521739130435,230,19,0.0,3.8962902446774104,0,33,2430.0,0.0009590152891473072,623.0093188285828,
XV,LONA,XV,MARO,298.35391715122415,Mspec,True,0.45000000000000107,0.8316831683168316,101,174,0.2328767123287671,1.8187910463580153,7,33,,,2592.3904852867126,
XV,LONA,XV,MARO,298.35391715122415,MspecBestK,False,,0.8928571428571429,224,18,0.0,3.517743290704899,0,33,,,913.5171625614166,
XV,LONA,XV,MARO,298.35391715122415,single-taper,False,,0.7139588100686499,1748,4,0.0,1.7101670294122178,0,33,2430.0,4.4373871924445943e-13,110.18240070343018,
XV,LONA,XV,MKVA,1139.2413876263681,FastMspec,False,,0.937007874015748,381,0,0.0,,0,33,5595.0,0.04538334168546337,1342.9126346111298,
XV,LONA,XV,MKVA,1139.2413876263681,Mspec,False,,0.9922480620155039,129,3,0.0,116.66234009532644,0,33,,,2021.115948677063,
XV,LONA,XV,MKVA,1139.2413876263681,MspecBestK,False,,0.9383033419023136,389,0,0.0,,0,33,,,1178.4827852249146,
XV,LONA,XV,MKVA,1139.2413876263681,single-taper,False,,0.7214031520081342,1967,12,0.0,1.2589896613312395,0,33,5595.0,1.1830943263026494e-12,288.2853889465332,
XV,LONA,XV,MMBE,151.0375327767523,FastMspec,True,0.6000000000000012,0.44881889763779526,127,539,0.46835443037974683,1.595681757291494,4,33,10500.0,0.0040636016283978425,1137.9236035346985,
XV,LONA,XV,MMBE,151.0375327767523,Mspec,True,-0.4999999999999998,0.912621359223301,103,146,0.2638888888888889,8.016828077795592,7,33,,,4701.428967475891,
XV,LONA,XV,MMBE,151.0375327767523,MspecBestK,True,0.6000000000000012,0.4728682170542636,129,564,0.46835443037974683,1.5885565603671905,6,33,,,1833.3788812160492,
XV,LONA,XV,MMBE,151.0375327767523,single-taper,False,,0.8667953667953668,1036,0,0.0,,0,33,10500.0,2.2866023407411922e-12,101.14598774909973,
XV,LONA,XV,SOLA,906.3292924882792,FastMspec,False,,0.948019801980198,404,15,0.0,inf,0,33,1620.0,0.11486113310927473,255.0359013080597,
XV,LONA,XV,SOLA,906.3292924882792,Mspec,False,,0.9937888198757764,161,0,0.0,,0,33,,,673.9281845092773,
XV,LONA,XV,SOLA,906.3292924882792,MspecBestK,False,,0.945273631840796,402,16,0.0,inf,0,33,,,247.52988386154175,
XV,LONA,XV,SOLA,906.3292924882792,single-taper,False,,0.6553419758605274,2237,2,0.0,1.0281615576935574,0,33,1620.0,2.6536853417103727e-12,846.0712988376617,
